"","przedziały","Company","Value","Year"
"1","(-inf;-10]","DL",0.1984582,"2002"
"2","(-10;10]","DL",0.5484015,"2002"
"3","(10;30]","DL",0.1537589,"2002"
"4","(30;50]","DL",0.04092579,"2002"
"5","(50;100]","DL",0.03048474,"2002"
"6","(100;+inf)","DL",0.0153398,"2002"
"7","cancelled","DL",0.01106677,"2002"
"8","(-inf;-10]","Średnia",0.2770908,"2002"
"9","(-10;10]","Średnia",0.5030881,"2002"
"10","(10;30]","Średnia",0.1229116,"2002"
"11","(30;50]","Średnia",0.03805356,"2002"
"12","(50;100]","Średnia",0.03052021,"2002"
"13","(100;+inf)","Średnia",0.01439268,"2002"
"14","cancelled","Średnia",0.01235791,"2002"
